squad,country,season,uefa_rating,confederation,overall_uefa_rating,uefa_season_ranking,overall_uefa_club_rank
Austria Wien,Austria,2023_2024,2,UEFA,6,70,75
FK Mladost Novi Sad,Serbia,2023_2024,1,UEFA,3,75,86
Panathinaikos,Greece,2023_2024,3,UEFA,5,57,78
Randers,Denmark,2023_2024,-1,UEFA,7,-1,73
Nordsjælland,Denmark,2023_2024,7,UEFA,7,43,73
Bologna,Italy,2023_2024,-1,UEFA,0,-1,102
Aris,Greece,2023_2024,2,UEFA,5,70,77
Brøndby,Denmark,2023_2024,-1,UEFA,5,-1,78
TSC Bačka Top,Serbia,2023_2024,3,UEFA,3,57,88
Gaziantep FK,Serbia,2023_2024,2,UEFA,8,63,68
Köln,Germany,2023_2024,-1,UEFA,6,-1,75
Stuttgart,Germany,2023_2024,-1,UEFA,0,-1,102
Girona,Spain,2023_2024,-1,UEFA,0,-1,102
Silkeborg,Denmark,2023_2024,-1,UEFA,4,-1,85
Vitória,Portugal,2023_2024,1,UEFA,3,75,86
Pogoń Szczecin,Poland,2023_2024,2,UEFA,5,70,78
AGF,Denmark,2023_2024,1,UEFA,3,75,88
Levski Sofia,Bulgaria,2023_2024,2,UEFA,4,63,83
Śląsk Wrocław,Poland,2023_2024,-1,UEFA,2,-1,95
Loko Plovdiv,Bulgaria,2023_2024,-1,UEFA,2,-1,95
CSKA 1948,Bulgaria,2023_2024,1,UEFA,1,75,98
Botev Plovdiv,Bulgaria,2023_2024,-1,UEFA,1,-1,98
Standard Liège,Belgium,2023_2024,-1,UEFA,0,-1,102
Athletic Club,Spain,2023_2024,-1,UEFA,0,-1,102
Osasuna,Spain,2023_2024,2,UEFA,2,63,90
Viborg,Denmark,2023_2024,-1,UEFA,2,-1,90
Gil Vicente FC,Portugal,2023_2024,-1,UEFA,2,-1,90
Santa Clara,Portugal,2023_2024,-1,UEFA,2,-1,90
FC Copenhagen,Portugal,2023_2024,-1,UEFA,72,-1,4
