club_id,club,confederation,country,uefa_rating,uefa_season_ranking,overall_uefa_rating,overall_uefa_club_rank,season
166,Lyngby,UEFA,Denmark,-1,-1,0,102,2023_2024
167,Lyon,UEFA,France,21,11,21,49,2021_2022
167,Lyon,UEFA,France,-1,-1,21,49,2022_2023
167,Lyon,UEFA,France,-1,-1,21,49,2023_2024
168,Mainz 05,UEFA,Germany,-1,-1,0,102,2021_2022
168,Mainz 05,UEFA,Germany,-1,-1,0,102,2022_2023
168,Mainz 05,UEFA,Germany,-1,-1,0,102,2023_2024
169,Mallorca,,,-1,-1,-1,-1,
169,Mallorca,,,-1,-1,-1,-1,
169,Mallorca,,,-1,-1,-1,-1,
170,Manchester City,UEFA,England,27,4,88,2,2021_2022
170,Manchester City,UEFA,England,33,1,88,2,2022_2023
170,Manchester City,UEFA,England,28,4,88,2,2023_2024
171,Manchester Utd,UEFA,England,18,17,44,24,2021_2022
171,Manchester Utd,UEFA,England,19,13,44,24,2022_2023
171,Manchester Utd,UEFA,England,7,43,44,24,2023_2024
172,Marseille,UEFA,France,16,22,42,27,2021_2022
172,Marseille,UEFA,France,8,42,42,27,2022_2023
172,Marseille,UEFA,France,18,18,42,27,2023_2024
173,Marítimo,UEFA,Portugal,-1,-1,0,102,2021_2022
173,Marítimo,UEFA,Portugal,-1,-1,0,102,2022_2023
174,Mechelen,,,-1,-1,-1,-1,
174,Mechelen,,,-1,-1,-1,-1,
174,Mechelen,,,-1,-1,-1,-1,
175,Metalac GM,,,-1,-1,-1,-1,
176,Metz,,,-1,-1,-1,-1,
176,Metz,,,-1,-1,-1,-1,
177,Midtjylland,UEFA,Denmark,7,47,17,51,2021_2022
177,Midtjylland,UEFA,Denmark,8,42,17,51,2022_2023
177,Midtjylland,UEFA,Denmark,2,63,17,51,2023_2024
178,Miedź Legnica,,,-1,-1,-1,-1,
179,Milan,UEFA,Italy,7,47,47,19,2021_2022
179,Milan,UEFA,Italy,24,8,47,19,2022_2023
179,Milan,UEFA,Italy,16,27,47,19,2023_2024
180,Mladost Lučani,UEFA,Serbia,-1,-1,0,102,2021_2022
180,Mladost Lučani,UEFA,Serbia,-1,-1,0,102,2022_2023
180,Mladost Lučani,UEFA,Serbia,-1,-1,0,102,2023_2024
181,Monaco,,,-1,-1,-1,-1,
181,Monaco,,,-1,-1,-1,-1,
181,Monaco,,,-1,-1,-1,-1,
182,Montpellier,,,-1,-1,-1,-1,
182,Montpellier,,,-1,-1,-1,-1,
182,Montpellier,,,-1,-1,-1,-1,
183,Monza,,,-1,-1,-1,-1,
183,Monza,,,-1,-1,-1,-1,
184,Moreirense,,,-1,-1,-1,-1,
184,Moreirense,,,-1,-1,-1,-1,
185,NEC Nijmegen,,,-1,-1,-1,-1,
185,NEC Nijmegen,,,-1,-1,-1,-1,
185,NEC Nijmegen,,,-1,-1,-1,-1,
186,Nantes,UEFA,France,-1,-1,8,68,2021_2022
186,Nantes,UEFA,France,8,42,8,68,2022_2023
186,Nantes,UEFA,France,-1,-1,8,68,2023_2024
187,Napoli,UEFA,Italy,9,41,51,15,2021_2022
187,Napoli,UEFA,Italy,25,6,51,15,2022_2023
187,Napoli,UEFA,Italy,17,22,51,15,2023_2024
188,Napredak Kruš,,,-1,-1,-1,-1,
188,Napredak Kruš,,,-1,-1,-1,-1,
188,Napredak Kruš,,,-1,-1,-1,-1,
189,Newcastle Utd,UEFA,England,-1,-1,8,68,2021_2022
189,Newcastle Utd,UEFA,England,-1,-1,8,68,2022_2023
