Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Björn Kopplin,de GER,DF,Randers,33,1989,27.0,2,0,0,12,15,0,57,54,22,,,2,Matches
Lars Kramer,nl NED,DF,Aalborg,23,1999,30.0,5,0,0,16,6,2,2,43,26,,,0,Matches
Mathias Kristensen,dk DEN,FW,Lyngby,29,1993,12.6,4,0,0,28,11,0,4,2,11,,,0,Matches
Thomas Kristensen,dk DEN,DF,AGF,20,2002,18.2,3,0,0,19,7,0,9,38,18,,,0,Matches
Jeppe Kudsk,dk DEN,DF,Randers,19,2003,2.0,0,0,0,1,0,0,0,4,2,,,0,Matches
Willy Kumado,gh GHA,"MF,FW",Lyngby,19,2002,5.4,0,0,0,5,8,0,15,4,4,,,0,Matches
Dawid Kurminowski,pl POL,FW,AGF,23,1999,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Kasper Kusk,dk DEN,MF,Aalborg,30,1991,1.9,0,0,0,1,0,0,11,1,4,,,0,Matches
Kasper Kusk,dk DEN,"FW,MF",Silkeborg,30,1991,14.2,2,0,0,13,17,1,45,4,9,,,0,Matches
Bertram Kvist,dk DEN,MF,Brøndby,17,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Mathias Kvistgaarden,dk DEN,"FW,MF",Brøndby,20,2002,17.0,5,0,0,28,39,12,22,6,10,,,0,Matches
Kasper Larsen,dk DEN,DF,Odense,29,1993,3.2,0,0,0,1,0,0,1,4,1,,,0,Matches
Nicolai Larsen,dk DEN,GK,Silkeborg,31,1991,31.5,1,0,0,0,6,0,0,1,0,,,0,Matches
Jordan Larsson,se SWE,FW,FC Copenhagen,25,1997,7.1,0,0,0,6,14,4,19,1,2,,,0,Matches
Noah Lassen,dk DEN,MF,Odense,15,2007,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Frederik Lauenborg,dk DEN,MF,Randers,25,1997,15.0,4,0,0,12,8,1,38,27,21,,,0,Matches
Jesper Lauridsen,dk DEN,DF,Randers,31,1991,0.4,0,0,0,0,0,0,1,1,0,,,0,Matches
