Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
Oğuz Ceylan,tr TUR,"DF,MF",Gaziantep FK,30,1990,10.4,1,0,0,8,12,0,51,19,18,,,0,Matches
Nacer Chadli,be BEL,"MF,FW",Başakşehir,31,1989,14.5,2,0,0,13,6,6,17,5,10,,,0,Matches
Joe Champness,nz NZL,"FW,MF",Giresunspor,24,1997,1.5,0,0,0,3,0,1,1,1,1,,,0,Matches
Chiquinho,pt POR,MF,Giresunspor,26,1995,12.7,3,0,0,13,12,2,39,7,2,,,0,Matches
Mounir Chouiar,fr FRA,MF,Yeni Mal'spor,22,1999,22.7,2,0,0,39,22,2,50,16,24,,,0,Matches
Alexandru Cicâldău,ro ROU,MF,Galatasaray,24,1997,24.4,7,0,0,29,25,3,98,15,23,,,0,Matches
Atabey Çiçek,tr TUR,FW,Başakşehir,26,1995,1.1,0,0,0,4,0,0,1,1,1,,,0,Matches
Uğur Çiftçi,tr TUR,DF,Sivasspor,29,1992,29.4,6,2,1,44,13,6,100,41,47,,,0,Matches
Sadık Çiftpınar,tr TUR,DF,Yeni Mal'spor,28,1993,21.4,8,0,0,16,25,0,1,40,15,,,0,Matches
Tolga Ciğerci,tr TUR,MF,Başakşehir,29,1992,27.3,7,0,0,48,30,0,12,49,30,,,0,Matches
Mirza Cihan,,"FW,MF",Gaziantep FK,20,2000,2.9,0,0,0,7,3,2,1,3,3,,,0,Matches
Sokol Cikalleshi,al ALB,FW,Konyaspor,31,1990,24.1,4,0,0,46,20,20,14,4,19,,,0,Matches
Anıl Çınar,,DF,Giresunspor,18,2003,1.0,0,0,0,1,0,0,0,1,1,,,0,Matches
İsmail Çipe,tr TUR,GK,Galatasaray,26,1995,6.1,0,0,0,0,2,0,0,0,0,,,0,Matches
Papiss Cissé,sn SEN,FW,Rizespor,36,1985,7.2,1,0,0,7,2,6,6,0,1,,,0,Matches
Ramazan Civelek,tr TUR,"DF,MF",Kayserispor,25,1996,11.5,2,0,0,14,14,2,27,15,18,,,0,Matches
Isaac Cofie,gh GHA,MF,Sivasspor,29,1991,20.6,5,0,0,23,24,0,0,32,23,,,0,Matches
İsmail Çokçalış,tr TUR,DF,Adana Demirspor,21,2000,2.2,1,0,0,2,4,0,4,6,1,,,0,Matches

Halit Çokyaşar,,FW,Sivasspor,19,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Emre Çolak,tr TUR,MF,Hatayspor,30,1991,2.7,0,0,0,3,5,0,20,3,4,,,0,Matches
