Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Sadik Fofana,tg TOG,DF,Fortuna Sittard,20,2003,7.0,0,0,0,6,4,0,1,4,13,0,0,1,39,9,11,45.0,Matches
Anthony Fontana,us USA,"MF,FW",Zwolle,23,1999,0.5,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0.0,Matches
Carlos Forbs,pt POR,FW,Ajax,19,2004,9.2,0,0,0,6,9,4,31,2,12,1,0,0,37,0,8,0.0,Matches
Oscar Fraulo,dk DEN,MF,Utrecht,19,2003,23.3,4,0,0,23,28,3,23,17,27,0,0,1,120,27,22,55.1,Matches

Anton Gaaei,dk DEN,DF,Ajax,20,2002,12.9,1,0,0,10,6,0,66,20,13,0,0,0,78,20,22,47.6,Matches
Juriën Gaari,cw CUW,DF,RKC Waalwijk,29,1993,18.3,5,0,0,30,5,1,18,20,23,0,0,0,103,29,20,59.2,Matches
Anselmo García MacNulty,ie IRL,DF,Zwolle,20,2003,27.9,9,0,0,36,18,2,74,36,42,0,3,0,113,40,23,63.5,Matches
Stijn van Gassel,nl NED,GK,Excelsior,26,1996,34.0,0,0,0,0,4,0,0,0,0,0,0,0,39,9,2,81.8,Matches
Lutsharel Geertruida,nl NED,DF,Feyenoord,23,2000,33.8,2,0,0,18,29,3,24,31,31,0,0,0,182,21,12,63.6,Matches
Anwar El Ghazi,nl NED,FW,PSV Eindhoven,28,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Teun Gijselhart,nl NED,MF,Zwolle,18,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Santiago Giménez,mx MEX,FW,Feyenoord,22,2001,26.3,3,0,0,13,42,23,6,0,1,2,0,0,63,38,43,46.9,Matches
Marco van Ginkel,nl NED,"MF,FW",Vitesse,30,1992,21.8,2,1,0,28,25,4,5,4,8,0,0,0,52,125,83,60.1,Matches
Paul Gladon,nl NED,FW,Fortuna Sittard,31,1992,1.9,0,0,0,3,3,3,0,0,1,0,0,0,5,13,6,68.4,Matches
Mika Godts,be BEL,"FW,MF",Ajax,18,2005,6.4,0,0,0,1,6,2,17,1,5,0,0,0,27,2,2,50.0,Matches
Wouter Goes,nl NED,DF,AZ Alkmaar,19,2004,12.6,2,0,0,17,7,0,3,12,12,0,0,0,54,19,25,43.2,Matches
Roberto González,es ESP,"FW,MF",NEC Nijmegen,22,2001,15.4,2,0,0,16,44,2,36,4,14,1,0,0,73,7,17,29.2,Matches
Tristan Gooijer,nl NED,"DF,MF",Ajax,18,2004,6.3,0,0,0,6,3,0,10,4,17,0,0,0,34,4,3,57.1,Matches
Jay Gorter,nl NED,GK,Ajax,23,2000,7.4,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,,Matches
Kenzo Goudmijn,nl NED,MF,AZ Alkmaar,21,2001,2.7,1,0,0,3,4,0,4,1,2,0,0,0,20,3,1,75.0,Matches
Kenzo Goudmijn,nl NED,"MF,FW",Excelsior,21,2001,17.4,2,0,0,12,28,1,40,12,18,0,0,0,116,6,15,28.6,Matches
Iman Griffith,nl NED,"FW,MF",Fortuna Sittard,21,2001,2.7,0,0,0,0,1,2,6,2,4,1,0,0,8,0,3,0.0,Matches
Axel Guessand,fr FRA,DF,Volendam,18,2004,0.5,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,100.0,Matches
Rodrigo Guth,br BRA,DF,Fortuna Sittard,22,2000,31.3,8,1,1,34,3,0,11,31,19,0,0,0,154,99,56,63.9,Matches
Jonathan de Guzmán,nl NED,MF,Sparta R'dam,35,1987,21.4,6,0,0,27,16,1,56,23,9,0,0,0,152,22,23,48.9,Matches
Milan de Haan,nl NED,MF,Volendam,19,2003,24.1,3,0,0,27,11,1,15,11,31,0,0,0,97,15,18,45.5,Matches
Jesse van de Haar,nl NED,FW,Utrecht,18,2005,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
