Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Igor de Camargo,be BEL,FW,Mechelen,38,1983,10,4,410,4.6,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,0,3,21,0.00,0.00,0.00,0.00,0.00,0.20,0.07,0.27,0.20,0.27,Matches
Cihan Çanak,tr TUR,"FW,DF",Standard Liège,16,2005,3,0,63,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,1,10,0.00,0.00,0.00,0.00,0.00,0.30,0.13,0.42,0.30,0.42,Matches

Brecht Capon,be BEL,DF,Oostende,33,1988,24,20,"1,787",19.9,1,2,3,1,0,0,2,0,2.1,2.1,1.6,3.8,20,121,53,0.05,0.10,0.15,0.05,0.15,0.11,0.08,0.19,0.11,0.19,Matches
Mehdi Carcela,ma MAR,"FW,MF",Standard Liège,32,1989,23,3,618,6.9,1,0,1,1,0,0,1,0,0.8,0.8,1.9,2.7,22,34,58,0.15,0.00,0.15,0.15,0.15,0.12,0.28,0.40,0.12,0.40,Matches
Alessio Castro-Montes,be BEL,"DF,MF",Gent,24,1997,29,23,"1,987",22.1,3,5,8,3,0,0,5,0,3.4,3.4,4.5,7.9,80,104,144,0.14,0.23,0.36,0.14,0.36,0.16,0.20,0.36,0.15,0.36,Matches
Maximiliano Caufriez,be BEL,DF,Sint-Truiden,24,1997,5,4,356,4.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,3,12,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Sofian Chakla,ma MAR,DF,OH Leuven,27,1993,17,17,"1,476",16.4,0,1,1,0,0,0,0,1,0.3,0.3,0.6,0.9,27,76,22,0.00,0.06,0.06,0.00,0.06,0.02,0.04,0.06,0.02,0.06,Matches
Giorgi Chakvetadze,ge GEO,"MF,FW",Gent,21,1999,8,4,286,3.2,0,2,2,0,0,0,0,1,0.2,0.2,1.2,1.5,20,14,27,0.00,0.63,0.63,0.00,0.63,0.07,0.39,0.46,0.07,0.46,Matches
Ismaila Cheick Coulibaly,ml MLI,MF,Beerschot,20,2000,20,12,"1,064",11.8,0,1,1,0,0,0,4,0,1.5,1.4,0.9,2.3,9,48,14,0.00,0.08,0.08,0.00,0.08,0.14,0.08,0.22,0.13,0.21,Matches
Teddy Chevalier,fr FRA,FW,Kortrijk,34,1987,6,6,432,4.8,2,0,2,2,0,0,1,0,1.2,1.2,0.4,1.6,6,7,34,0.42,0.00,0.42,0.42,0.42,0.25,0.09,0.34,0.25,0.34,Matches
Gojko Cimirot,ba BIH,MF,Standard Liège,28,1992,24,19,"1,540",17.1,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.8,11,71,26,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Alessandro Ciranni,be BEL,"DF,MF",Zulte Waregem,25,1996,24,21,"1,871",20.8,1,2,3,1,0,0,4,0,0.5,0.5,1.5,2.0,32,95,85,0.05,0.10,0.14,0.05,0.14,0.02,0.07,0.10,0.02,0.10,Matches
Ibrahima Cissé,ml MLI,"DF,MF",Gent,20,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,5.18,0.00,5.18,5.18,5.18,Matches
Ibrahima Cissé,gn GUI,MF,R.F.C. Seraing,27,1994,31,30,"2,583",28.7,0,0,0,0,0,0,8,0,0.3,0.3,0.7,1.1,3,115,12,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches
Dion Cools,my MAS,DF,Zulte Waregem,25,1996,11,7,644,7.2,0,0,0,0,0,0,3,0,0.2,0.2,0.8,1.0,13,22,29,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.02,0.14,Matches
Jens Cools,be BEL,MF,Eupen,30,1990,24,19,"1,595",17.7,1,0,1,1,0,0,4,0,2.5,2.5,0.2,2.7,7,74,22,0.06,0.00,0.06,0.06,0.06,0.14,0.01,0.15,0.14,0.15,Matches
