Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Guillaume Dietsch,fr FRA,GK,Metz,22,2001,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Sinaly Diomande,ci CIV,DF,Lyon,22,2001,9.9,10,4,5,3,2,9,16,56.3,7,12,9,3,15,25,26,1,Matches
Edan Diop,fr FRA,"MF,DF",Monaco,18,2004,1.8,10,8,6,3,1,7,9,77.8,2,3,0,3,1,11,5,0,Matches
Sofiane Diop,fr FRA,FW,Nice,23,2000,5.5,8,6,3,4,1,4,10,40.0,6,4,0,4,3,11,3,0,Matches
Andy Diouf,fr FRA,MF,Lens,20,2003,14.6,28,19,12,11,5,14,22,63.6,8,13,3,10,3,31,5,1,Matches
Yehvann Diouf,fr FRA,GK,Reims,23,1999,34.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,19,3,Matches
Chaim El Djebali,tn TUN,MF,Lyon,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Jeremy Doku,be BEL,FW,Rennes,21,2002,1.2,2,2,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Gianluigi Donnarumma,it ITA,GK,Paris S-G,24,1999,24.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,4,Matches
Siriné Doucouré,ml MLI,FW,Lorient,21,2002,4.7,8,6,0,4,4,3,3,100.0,0,4,0,4,1,9,6,0,Matches
Désiré Doué,fr FRA,"MF,FW",Rennes,18,2005,18.1,32,18,11,14,7,10,33,30.3,23,30,1,29,14,46,8,0,Matches
Guela Doué,ci CIV,DF,Rennes,20,2002,13.7,28,21,14,12,2,22,32,68.8,10,12,1,11,15,43,65,1,Matches
Douglas,br BRA,MF,Nantes,26,1997,19.7,70,42,34,30,6,30,59,50.8,29,22,8,14,26,96,30,0,Matches
Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,20,2003,18.4,23,16,7,14,2,13,21,61.9,8,19,7,12,19,42,29,2,Matches
Kamory Doumbia,ml MLI,MF,Brest,20,2003,9.8,28,18,8,10,10,10,29,34.5,19,14,0,14,9,37,6,0,Matches
Jean-Kevin Duverne,ht HAI,DF,Nantes,26,1997,15.0,37,19,16,17,4,18,44,40.9,26,17,5,12,18,55,34,0,Matches

Aron Dønnum,no NOR,"FW,MF",Toulouse,25,1998,17.7,16,10,3,8,5,7,22,31.8,15,13,0,13,8,24,16,1,Matches
Simon Ebonog,cm CMR,MF,Le Havre,18,2004,0.2,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,1,0,Matches
Hugo Ekitike,fr FRA,FW,Paris S-G,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Simon Elisor,fr FRA,FW,Metz,24,1999,8.5,9,2,3,2,4,2,6,33.3,4,6,1,5,0,9,9,0,Matches
