nation_rank,nation_prev_rank,nation,confederation,points,season
180,180,Cambodia,AFC,920,2023_2024
181,181,Dominica,CONCACAF,917,2023_2024
182,183,Belize,CONCACAF,913,2023_2024
183,190,Brunei,AFC,907,2023_2024
184,182,Bhutan,AFC,904,2023_2024
185,192,Samoa,OFC,901,2023_2024
186,184,Bangladesh,AFC,897,2023_2024
187,188,Laos,AFC,890,2023_2024
188,189,Mongolia,AFC,884,2023_2024
189,187,American Samoa,OFC,883,2023_2024
190,191,São Tomé and Príncipe,CAF,878,2023_2024
191,186,Cook Islands,OFC,878,2023_2024
192,193,Djibouti,CAF,875,2023_2024
193,185,Macau,AFC,872,2023_2024
194,194,Aruba,CONCACAF,868,2023_2024
195,195,Cayman Islands,CONCACAF,857,2023_2024
196,196,Timor-Leste,AFC,845,2023_2024
197,197,Pakistan,AFC,843,2023_2024
198,198,Gibraltar,UEFA,842,2023_2024
199,200,Tonga,OFC,836,2023_2024
200,205,Sri Lanka,AFC,831,2023_2024
201,201,Seychelles,CAF,831,2023_2024
202,202,Somalia,CAF,830,2023_2024
203,199,Liechtenstein,UEFA,827,2023_2024
204,204,Guam,AFC,822,2023_2024
205,203,Bahamas,CONCACAF,817,2023_2024
206,206,Turks and Caicos Islands,CONCACAF,803,2023_2024
207,208,United States Virgin Islands,CONCACAF,792,2023_2024
208,207,British Virgin Islands,CONCACAF,791,2023_2024
209,209,Anguilla,CONCACAF,782,2023_2024
210,210,San Marino,UEFA,746,2023_2024
1,5,Brazil,CONMEBOL,1838,2021_2022
2,6,Belgium,UEFA,1822,2021_2022
3,1,Argentina,CONMEBOL,1771,2021_2022
4,2,France,UEFA,1765,2021_2022
5,4,England,UEFA,1737,2021_2022
6,3,Spain,UEFA,1717,2021_2022
7,10,Italy,UEFA,1714,2021_2022
8,7,Netherlands,UEFA,1679,2021_2022
9,8,Portugal,UEFA,1679,2021_2022
10,21,Denmark,UEFA,1665,2021_2022
11,13,Germany,UEFA,1659,2021_2022
12,17,Mexico,CONCACAF,1650,2021_2022
13,11,Uruguay,CONMEBOL,1641,2021_2022
14,16,United States,CONCACAF,1635,2021_2022
15,12,Croatia,UEFA,1632,2021_2022
16,15,Switzerland,UEFA,1621,2021_2022
17,9,Colombia,CONMEBOL,1604,2021_2022
18,19,Senegal,CAF,1585,2021_2022
19,30,Wales,UEFA,1582,2021_2022
20,29,Sweden,UEFA,1563,2021_2022
21,42,Peru,CONMEBOL,1562,2021_2022
22,20,Iran,AFC,1559,2021_2022
23,14,Morocco,CAF,1558,2021_2022
24,18,Japan,AFC,1555,2021_2022
25,32,Serbia,UEFA,1550,2021_2022
26,28,Poland,UEFA,1546,2021_2022
27,25,Ukraine,UEFA,1543,2021_2022
28,23,South Korea,AFC,1526,2021_2022
29,43,Chile,CONMEBOL,1515,2021_2022
30,41,Tunisia,CAF,1508,2021_2022
31,39,Nigeria,CAF,1505,2021_2022
32,47,Czech Republic,UEFA,1503,2021_2022
33,22,Austria,UEFA,1502,2021_2022
34,49,Costa Rica,CONCACAF,1500,2021_2022
35,33,Russia,UEFA,1493,2021_2022
36,50,Norway,UEFA,1489,2021_2022
37,31,Hungary,UEFA,1487,2021_2022
38,51,Cameroon,CAF,1485,2021_2022
39,24,Australia,AFC,1484,2021_2022
40,36,Egypt,CAF,1483,2021_2022
41,46,Algeria,CAF,1481,2021_2022
42,26,Turkey,UEFA,1475,2021_2022
43,40,Canada,CONCACAF,1474,2021_2022
44,27,Ecuador,CONMEBOL,1464,2021_2022
45,48,Scotland,UEFA,1463,2021_2022
46,53,Mali,CAF,1443,2021_2022
47,58,Republic of Ireland,UEFA,1442,2021_2022
48,34,Qatar,AFC,1442,2021_2022
49,54,Greece,UEFA,1441,2021_2022
50,62,Paraguay,CONMEBOL,1440,2021_2022
51,44,Slovakia,UEFA,1440,2021_2022
52,38,Ivory Coast,CAF,1436,2021_2022
53,56,Saudi Arabia,AFC,1436,2021_2022
54,45,Romania,UEFA,1428,2021_2022
55,67,Burkina Faso,CAF,1426,2021_2022
56,37,Venezuela,CONMEBOL,1405,2021_2022
57,75,Bosnia and Herzegovina,UEFA,1404,2021_2022
58,74,Northern Ireland,UEFA,1399,2021_2022
59,63,Finland,UEFA,1398,2021_2022
60,64,Ghana,CAF,1393,2021_2022
61,35,Panama,CONCACAF,1389,2021_2022
62,59,Jamaica,CONCACAF,1382,2021_2022
63,71,Iceland,UEFA,1380,2021_2022
64,72,North Macedonia,UEFA,1375,2021_2022
65,52,Slovenia,UEFA,1372,2021_2022
66,66,Albania,UEFA,1362,2021_2022
67,73,Montenegro,UEFA,1355,2021_2022
68,57,South Africa,CAF,1351,2021_2022
69,69,United Arab Emirates,AFC,1346,2021_2022
70,55,Iraq,AFC,1339,2021_2022
71,81,El Salvador,CONCACAF,1333,2021_2022
72,60,Democratic Republic of the Congo,CAF,1333,2021_2022
73,65,Cape Verde,CAF,1331,2021_2022
74,82,Bulgaria,UEFA,1325,2021_2022
75,76,Oman,AFC,1323,2021_2022
